Symbol,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
CINF,-0.27319203425824573,-0.6540572466316487,-0.12057165752422477,-0.05518772759395462,-0.2159189055233114,0.2201376533106232,-0.13859545491584502,-0.04287923090449172,-0.12420833119522472,-0.8747624386091198,0.4236190527793829,0.06343879816179322,-0.2834157083103449,-0.6456682004535436,0.4786971419658508
CTAS,-0.06498422978920346,0.5523368967583155,0.6346766537763184,-0.019988217186295856,0.36286237122500187,-0.1744602475381566,-0.22918851920945668,-0.046681004561621706,-0.09789239925250527,0.6115459986426103,-0.5744833245673635,0.9851773724901252,-0.22751991144931133,0.744948350635617,0.22518158255070506
CSCO,0.38053380322089125,-0.326120125242183,-0.2643837773522303,-0.02348129837178871,-0.12063742768373552,-0.2324053374249474,-0.258046793722341,-0.04660838516421429,-0.04177968979876384,-0.5223148840658081,0.7457913391381427,-0.8697440727042623,0.7411068729324524,-0.19741669387934896,0.4025681294024757
C,0.05361198077017768,-0.42942738934990343,-0.41600431152468287,-0.09468641484529688,-0.24725728310149162,-0.19282312813608327,-0.14334428489897788,-0.041815028569015436,-0.04377173277323949,0.8967502697533167,1.1753543876164894,0.6707847251361557,0.4413337717504458,-1.889925051442411,-0.16668953582971494
CFG,-0.28049689259350397,-0.4835602951872405,-0.364067394747431,0.3204528491228923,-0.23927618061425943,-0.22791663327878756,-0.255489731423731,-0.04466645143864533,-0.03926342498889986,0.6440082734031786,1.705991094560329,1.1007532370279698,-0.00423165143076963,-0.3984120313467813,0.3599685940520714
CLX,-0.2778781916303404,1.0739874478970435,-0.01767631765584895,-0.03852841732468101,1.5558198854844656,-0.24423919381027795,-0.13969133875810646,-0.04706903138552386,0.2751228941301889,-1.5147329981746076,0.6068150587480895,-0.004285789745942486,-0.24438850691121078,-0.3976144308012756,-0.7299252772165603
CME,-0.07820337723188779,-0.24168451617421952,-0.03952827249737437,0.047992516654449695,-0.17883593782996213,0.03365239923834568,-0.02571941916291763,-0.043138427106462644,0.05320930677360139,-1.127504434959258,0.8342307902954493,-0.769941983064494,-0.20584956329023166,1.8079504776583175,3.2195643310848934
CMS,-0.27459806105435935,-0.33251562969979076,-0.10814255925687022,-0.04954505798662001,-0.1854979115394267,-0.20302472846826475,-0.2690056321449553,-0.04583037312158195,-0.04324751093785117,-1.489226925148447,0.6320834733644628,-0.02482138463050521,-0.19581767914648107,-0.05624139732484281,-0.04974526164788965
KO,0.6440346330832831,-0.14057142107505613,-0.008194942470813031,-0.014345547578961247,0.0809626095950809,-0.23566984953124548,-0.2890968359197482,-0.04689124089289157,-0.011102227991838826,-1.0185239411202078,0.714205820867676,-0.029570028859356393,0.48325019430979704,0.3716712953389568,0.6802458032825718
CTSH,-0.21833267214026422,-0.44640695645259026,-0.22969115492331404,-0.05250074206665242,-0.1841168356050366,-0.15691349496680446,-0.21822968078684235,-0.045728695379293575,-0.115841750702427,0.00403771383769084,-0.277579452824977,-0.397604465275808,-0.12058646811430752,-0.6608226108181515,-0.17635435187779963
